Category,Image_url,Image Description,article_title,article_url,license,license_url,attribution
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/138b/5179419/5a2e043e469a/jtd-08-11-3343-f2.jpg,"CT – Malignant CAO stenting (Dumon Y stent, post-laser and debulking, multiplanar views)",Techniques of endoscopic airway tumor treatment,https://pmc.ncbi.nlm.nih.gov/articles/PMC5179419/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/0799/2880312/41bc74929e78/1749-8090-5-33-1.jpg,CT – Mediastinal abscess (post-EBUS TBNA complication),Mediastinal abscess after endobronchial ultrasound with transbronchial needle aspiration: a case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC2880312/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d8db/8137064/68d9732601c7/medi-100-e25973-g003.jpg,CT – Mediastinal cyst (coronal),"Pneumonia, pleurisy, mediastinitis, and mediastinal cyst infection secondary to endobronchial ultrasound-guided transbronchial needle aspiration",https://pmc.ncbi.nlm.nih.gov/articles/PMC8137064/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d8db/8137064/8b048731bb6d/medi-100-e25973-g002.jpg,CT – Mediastinal cyst wall enhancement (axial),"Pneumonia, pleurisy, mediastinitis, and mediastinal cyst infection secondary to endobronchial ultrasound-guided transbronchial needle aspiration",https://pmc.ncbi.nlm.nih.gov/articles/PMC8137064/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/497a/10577008/d08f77acf48a/rjad356f1.jpg,"CT – Mediastinal mass (tracheal invasion, esophageal mass, chest wall and cervical involvement)",Iatrogenic tracheal laceration due to rigid bronchoscopy treated by endoscopic stent placement: a case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC10577008/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/bb0f/7263015/2373866758f1/TCA-11-1728-g001.jpg,"CT – Multiple ground glass nodules (post-trauma, follow-up, post-surgical changes)",Combination of electromagnetic navigation bronchoscopyâ€guided microwave ablation and thoracoscopic resection: An alternative for treatment of multiple pulmonary nodules,https://pmc.ncbi.nlm.nih.gov/articles/PMC7263015/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/48d352926f74/13244_2017_581_Fig2_HTML.jpg,"CT – Multiple subsolid nodules (pure GGN vs part-solid, adenocarcinoma in situ vs minimally invasive)","Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/93a6/8520632/714c52f606d3/12890_2021_1693_Fig6_HTML.jpg,"CT – Navigation planning (PlanPoint software, segmented views with target pathway)",Shape-sensing robotic-assisted bronchoscopy for pulmonary nodules: initial multicenter experience using the Ionâ„¢ Endoluminal System,https://pmc.ncbi.nlm.nih.gov/articles/PMC8520632/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/75e85ec53806/13244_2017_581_Fig23_HTML.jpg,CT – Nodule with bronchial interruption sign (RLL NSCLC with adrenal metastasis),"Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/e702257572d5/13244_2017_581_Fig26_HTML.jpg,CT – Nodule with bubble-like lucencies (RUL adenocarcinoma with lepidic growth),"Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/63fadac97f63/13244_2017_581_Fig20_HTML.jpg,CT – Nodule with fissure retraction (adenocarcinoma),"Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/e3e2ddd8451b/13244_2017_581_Fig24_HTML.jpg,CT – Nodule with irregular air bronchogram (RLL adenocarcinoma),"Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/e837/11477479/46bb63c8b448/jcm-13-05954-g031.jpg,CT – Pleural effusion (contiguous to primary lesion),Abstracts of the Italian Society of Thoracic Endoscopy (SIET) 2024 Annual Congress,https://pmc.ncbi.nlm.nih.gov/articles/PMC11477479/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/e837/11477479/adc537f73401/jcm-13-05954-g033.jpg,CT – Pneumomediastinum and Subcutaneous Empysema,Abstracts of the Italian Society of Thoracic Endoscopy (SIET) 2024 Annual Congress,https://pmc.ncbi.nlm.nih.gov/articles/PMC11477479/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d8db/8137064/2cbb631673d0/medi-100-e25973-g008.jpg,CT – Post‑EBUS timeline: complications,"Pneumonia, pleurisy, mediastinitis, and mediastinal cyst infection secondary to endobronchial ultrasound-guided transbronchial needle aspiration",https://pmc.ncbi.nlm.nih.gov/articles/PMC8137064/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d8db/8137064/d9ab1b374126/medi-100-e25973-g009.jpg,CT – Post‑EBUS timeline: cyst enlargement,"Pneumonia, pleurisy, mediastinitis, and mediastinal cyst infection secondary to endobronchial ultrasound-guided transbronchial needle aspiration",https://pmc.ncbi.nlm.nih.gov/articles/PMC8137064/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d8db/8137064/e0c83ec62e0f/medi-100-e25973-g012.jpg,CT – Post‑EBUS timeline: cyst smaller post‑TBNA,"Pneumonia, pleurisy, mediastinitis, and mediastinal cyst infection secondary to endobronchial ultrasound-guided transbronchial needle aspiration",https://pmc.ncbi.nlm.nih.gov/articles/PMC8137064/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d8db/8137064/11732e0bc872/medi-100-e25973-g010.jpg,CT – Post‑EBUS timeline: mediastinitis,"Pneumonia, pleurisy, mediastinitis, and mediastinal cyst infection secondary to endobronchial ultrasound-guided transbronchial needle aspiration",https://pmc.ncbi.nlm.nih.gov/articles/PMC8137064/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d8db/8137064/dbe174f0fb36/medi-100-e25973-g011.jpg,CT – Post‑EBUS timeline: pleural effusion,"Pneumonia, pleurisy, mediastinitis, and mediastinal cyst infection secondary to endobronchial ultrasound-guided transbronchial needle aspiration",https://pmc.ncbi.nlm.nih.gov/articles/PMC8137064/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/e837/11477479/0687c90a8943/jcm-13-05954-g025.jpg,CT – Post-LVRS nodule,Abstracts of the Italian Society of Thoracic Endoscopy (SIET) 2024 Annual Congress,https://pmc.ncbi.nlm.nih.gov/articles/PMC11477479/
